,apple,aromatic,berry,blend,character,cherry,cinnamon,dry,fresh,herb,plum,smoky,soft,spice,sweet,tobacco,vanilla
Alvarinho,0.5781198915068236,0.09216587748994927,0.0,0.0,0.6379253975247708,0.0,0.0,0.037629613631812504,0.42566777244130494,0.0,0.05845998325791143,0.0,0.206109595920701,0.14656434735117926,0.0,0.0,0.01857810159031961
Aragonês,0.0,0.0,0.39791638937350676,0.0,0.1928568003313568,0.19066330607729468,0.0,0.1820181961312746,0.45755499821131623,0.0,0.0,0.0,0.16616211379821216,0.47263091569394244,0.5240603731507979,0.0,0.0
Ruché,0.0,0.0,0.4564907981080932,0.0,0.0,0.583278612194114,0.0,0.0,0.3499389183084122,0.33201113988558345,0.0,0.0,0.0,0.24097933879512673,0.40080235343423576,0.0,0.0
Welschriesling,0.4016720112023139,0.0,0.0,0.0,0.1338906704007713,0.0,0.0,0.1895489679125901,0.5823714787822439,0.0,0.1963175350695315,0.08047888457369959,0.17303686030329693,0.05468726886621436,0.6063807841801244,0.0,0.0
Tinta de Toro,0.0,0.0,0.6729308569746629,0.033423772468170486,0.055279176086783406,0.2295318801186698,0.014442506110241279,0.01043449429592496,0.0612035606745092,0.02488629898550064,0.46470519763084145,0.11961776803330264,0.028576554412875627,0.3251321921900226,0.14019893114762846,0.2702299657742609,0.23697406145656685
Cabernet Moravia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rieslaner,0.0,0.0,0.3009309757581805,0.0,0.2917024111356186,0.0,0.0,0.0,0.23068911920843754,0.0,0.0,0.701344898950273,0.0,0.0,0.5284393192809962,0.0,0.0
Chambourcin,0.0,0.0,0.22630783167765844,0.0,0.0,0.6506180775330354,0.0,0.0,0.08674207470360615,0.0,0.0,0.13185734946339112,0.47250865615078613,0.268800382620389,0.2980499669859488,0.14894027709435578,0.3066517072863265
Nero di Troia,0.0,0.0,0.5629086623861206,0.0,0.0,0.6935658309178031,0.0,0.0,0.06164531972987491,0.26319221185738445,0.15239142511549222,0.0,0.06715990430959289,0.2547058519834659,0.14121086814450406,0.10584795249030425,0.07264311122359218
Monica,0.0,0.0,0.29910967388183557,0.0,0.0,0.8599179248454834,0.0,0.0,0.22929293682937826,0.0,0.0,0.0,0.24980471775967897,0.2368478786582341,0.0,0.0,0.0
Lambrusco di Sorbara,0.0,0.0,0.6502492481633405,0.0,0.0,0.57121103081782,0.13723116075104033,0.24786864432490957,0.249235602860122,0.1182334862976435,0.0,0.0,0.04525523135678137,0.30035557169689087,0.047576977466439595,0.0,0.0
Sherry,0.0,0.03725934150296648,0.0,0.03248535171950144,0.06447255992973938,0.0,0.25266621356648183,0.5172180697015499,0.3314174436718478,0.0,0.0,0.11625932620753839,0.1388711316051735,0.18433545415613406,0.6715801710599361,0.04377381144755327,0.18025096067624602
Feteasca Neagra,0.0,0.0,0.0,0.0,0.0,0.7970522563076159,0.0,0.0,0.3187951676110746,0.30246291981529555,0.26269444906801775,0.0,0.23154234627963644,0.0,0.0,0.1824621663807214,0.12522320115456612
Lagrein,0.0,0.0,0.416516932306052,0.017689705591689957,0.0,0.5379870313188599,0.045862629301880696,0.0,0.1943538187724738,0.0592704148619909,0.39466017489280797,0.0,0.09074574120023293,0.5305735417729956,0.015900217333334105,0.09534707751598866,0.1963091829520146
Tinta Fina,0.0,0.0,0.8062871565991927,0.11251423764063238,0.0,0.11038167746524433,0.0,0.0,0.0,0.0,0.4365583870236729,0.0,0.09619707761063347,0.18241507982342536,0.0,0.3032244850647306,0.0
St. Laurent,0.0,0.3094326017044325,0.1299701896296276,0.01586973027808433,0.12598443079911267,0.731740194220684,0.061716195876645036,0.059452035902494,0.3487161124811217,0.0,0.23090623900070198,0.05679495685182534,0.3256380789986822,0.19296745301908924,0.07132175239860149,0.0,0.04402806152442529
Marsanne-Viognier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cabernet Sauvignon-Shiraz,0.0,0.0,0.2276796257349521,0.6672079363168465,0.055174359856120056,0.2727341178219217,0.0,0.052073545949398004,0.043633936478434304,0.0,0.4853972704851168,0.0,0.09507456564045787,0.09014325024861539,0.1499283176163605,0.2247646466385019,0.30851051608934443
Syrah-Cabernet Sauvignon,0.0,0.0,0.07865228568753507,0.7682934452418344,0.03812013920896245,0.45223886887388703,0.0,0.035977777102839704,0.03014682430626225,0.08580710213859001,0.11178750160276736,0.0,0.06568731720489335,0.21798089547667665,0.10358594741842297,0.10352706875024498,0.3197263326141743
Gewürztraminer-Riesling,0.0,0.0,0.0,0.9145900267422451,0.1512629467055126,0.0,0.0,0.14276192829878642,0.23924873166813995,0.17024380533600483,0.0,0.0,0.0,0.12356585281438054,0.13701170360284748,0.0,0.0
Pugnitello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725675927771528,0.6880366617070138,0.0,0.0,0.0
Cerceal,0.0,0.0,0.0,0.0,0.7411584262007588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6713301626410171,0.0,0.0
Touriga Nacional Blend,0.0,0.0,0.18398103460918433,0.7188674643257009,0.35667788112215204,0.0,0.0,0.420790609990378,0.21155560366352238,0.0,0.08716330797623784,0.0,0.07682688732066457,0.145684080340869,0.24230509781655765,0.0,0.08309934592626063
Austrian white blend,0.6664358258637472,0.06418999559070565,0.0,0.5036887528256959,0.2499134346989052,0.0,0.0,0.2620758136187015,0.3074413096645755,0.0,0.05428684555506677,0.06676344182524124,0.11962285115402099,0.15878557580722272,0.1509118885891619,0.0,0.051755738311994835
Tocai,0.8163475183818184,0.3145169666561466,0.0,0.0,0.0,0.0,0.0,0.0,0.43039865925994547,0.0,0.0,0.0,0.0,0.22228990310966532,0.0,0.0,0.0
Tinta Roriz,0.0,0.0,0.6508378353170243,0.0,0.0,0.31185167717546564,0.0,0.29771160957934567,0.0,0.0,0.3083425354294308,0.0,0.54355434128459,0.0,0.0,0.0,0.0
Chardonnay-Viognier,0.6680589213576681,0.0,0.0,0.4808718857250512,0.14315548314807175,0.0,0.0,0.04503670212673073,0.11321268202316383,0.0,0.046644908946471976,0.0,0.28779405839933747,0.1169429113045403,0.3025588649297385,0.0,0.3112907323009077
Fernão Pires,0.3390385615327415,0.13062253213449115,0.0,0.0,0.5085578422991123,0.0,0.0,0.0,0.4915612313962743,0.0,0.0,0.0,0.29210981384422524,0.46159783239706076,0.0,0.0,0.26329903626686557
Cabernet Franc-Cabernet Sauvignon,0.0,0.0,0.0,0.6265502042744895,0.5181219310639269,0.20489158828326495,0.0,0.19560133551168332,0.24585005956116493,0.0,0.10129301274188449,0.37371872104650455,0.17856199029098138,0.08465017992594033,0.0,0.0,0.09657025761396873
Grenache-Syrah,0.0,0.0352112032271613,0.06285610703294489,0.7367913281302251,0.0,0.5722375765055687,0.1591848028020642,0.057504317607947664,0.07227680665858054,0.0,0.11911545615857616,0.07324571677003561,0.15748489715889305,0.1493164906864484,0.13797033659237676,0.04136757410982482,0.05678086758240247
Seyval Blanc,0.786420051729429,0.0,0.0,0.0,0.0,0.0,0.0,0.42412744725268753,0.26654152921765173,0.12644314809307075,0.10981813290375857,0.0,0.09679514830555637,0.0,0.305283198321605,0.0,0.0
Muscat Canelli,0.0,0.04797065376889265,0.0,0.04182423781624896,0.0,0.04103151410587045,0.10843422491448469,0.11751315450899251,0.09846768499707081,0.04671153539567044,0.0,0.0,0.14303503398621717,0.03390402779145604,0.9022392839258713,0.0,0.3481042368430767
Cabernet Merlot,0.0,0.0,0.12762523968548303,0.3116681042408483,0.4329898746872892,0.6726738547567253,0.08080359877064744,0.058379389562082315,0.14675335793016714,0.13923501245291628,0.12092809561460753,0.0,0.1065876157226474,0.3537070002337645,0.05602796007668653,0.16798834067805685,0.11528986087152324
Tempranillo-Cabernet Sauvignon,0.0,0.0,0.4439961410870308,0.5279893600804111,0.0,0.33298843661559135,0.024444180837260215,0.12362388113089201,0.08878974883042672,0.0,0.5853181358219897,0.02249500599008533,0.03224419448361553,0.13757290530540378,0.033898430488094156,0.10163748745253555,0.1220685944379537
Arinto,0.45372083367004923,0.08740327930283336,0.0,0.0,0.6805812505050738,0.0,0.0,0.1665306223896418,0.4784257539656243,0.0,0.024639604561713067,0.030302457048903695,0.21717671887860446,0.12354733478613843,0.02283186175508158,0.0,0.04698158136720225
Aragonez,0.0,0.0,0.4880663595994383,0.0,0.7096484510973602,0.0,0.0,0.0,0.37414426456962124,0.0,0.0,0.28436990475297597,0.0,0.19323594655992476,0.0,0.0,0.0
Merlot-Cabernet Franc,0.0,0.0,0.06820052925405684,0.5995784765425826,0.06610904302560108,0.5228571119384203,0.08635984881002269,0.06239369697521765,0.26140745371141744,0.14880914720921323,0.1938651040247065,0.0,0.17087525528947808,0.1620123194367852,0.35928346521474125,0.0,0.18482620401203056
Syrah-Petite Sirah,0.0,0.2454322483240225,0.0,0.8559413654134607,0.0,0.20992952915878288,0.0,0.0,0.0,0.11949511059468723,0.20756727643284348,0.12763594608652398,0.18295253046512014,0.0867315860253418,0.0961693063807838,0.0,0.1978895169050595
Cabernet Blend,0.0,0.0,0.38300396101513007,0.7482539895117585,0.018562924375120405,0.23857333956930443,0.0,0.017519683018049754,0.05872100483994212,0.14624573081709408,0.29032463943684556,0.022315572006083906,0.14394147742947763,0.19713133456854148,0.11769812525246585,0.15124014664171487,0.1729927147933079
Muscat,0.16373349675471371,0.2752675964170926,0.015355774509705267,0.044999611133823364,0.1339637700720385,0.0735778372940973,0.038888917124937535,0.393353240181743,0.18834405929704565,0.03350530757633805,0.0,0.017893960724180542,0.11542088829277523,0.24318722765313713,0.7685016729904891,0.0,0.1248443176322433
Glera,0.8586779115550583,0.04944726366854442,0.0,0.009238211069325491,0.003055793279555368,0.0,0.007983713983422482,0.22784049296466577,0.33107899678890595,0.0894202914634292,0.0,0.0,0.24485217783540236,0.012481301959158217,0.17437717226296484,0.0,0.005695546289957882
Maturana,0.0,0.0,0.8136271123546168,0.0,0.5257838941110309,0.0,0.0,0.24811734871815827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pecorino,0.800233738849745,0.11561578363916096,0.0,0.0,0.0,0.0,0.0,0.09440754835877929,0.47464095940476037,0.11258113753832023,0.0,0.0,0.17236691855234082,0.16342661330060781,0.09060496161506747,0.0,0.18643965271220694
Kinali Yapincak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabernet Franc-Carmenère,0.0,0.0,0.5411054723123193,0.26428207643807033,0.0,0.0,0.0,0.0,0.0,0.0,0.7690663828090877,0.0,0.0,0.21423526959907793,0.0,0.0,0.0
Gamay Noir,0.0,0.0,0.303333698047996,0.0,0.0,0.8720616781662026,0.0,0.0925022676773095,0.31004134620408047,0.0,0.0,0.0,0.16888830518136122,0.08006421410117659,0.0887764226262733,0.0,0.0
Sauvignon Gris,0.7420465660186604,0.28589078769348414,0.0,0.0,0.24734885533955345,0.0,0.0,0.46689556589849673,0.19561267715736536,0.0,0.0,0.0,0.0,0.0,0.22404487544636356,0.0,0.0
Spätburgunder,0.02219398614110406,0.05130451217353077,0.13737681247278077,0.0,0.0,0.8557207827342201,0.08697762968200484,0.0,0.22817378927683163,0.14987366325444235,0.3254198847124298,0.053361365464338215,0.17209762269363058,0.14504114244000096,0.020102979064996855,0.0,0.06204945681587532
Picpoul,0.735446691123683,0.0,0.0,0.0,0.0,0.0,0.0,0.19831839677203567,0.5816186048637217,0.0,0.0,0.0,0.0,0.0,0.2854956680816251,0.0,0.0
Vidal Blanc,0.3421318136003425,0.13181427980995808,0.0,0.03830836392119582,0.03801464595559361,0.0,0.09931891090966992,0.0717564251975322,0.27057056685059055,0.0,0.0,0.04569961887281207,0.13101106969355997,0.3415934618603676,0.7919611835317942,0.0,0.10628050849431842
Albanello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Trebbiano,0.8211214912134088,0.0,0.0,0.11820940556761438,0.0,0.0,0.0,0.16606590898216478,0.371070528123311,0.1980338359015195,0.0,0.0,0.20213262961465567,0.19164844027445027,0.05312567893306988,0.0,0.16397666784179643
