,Variety,apple,character,cherry,cinnamon,dry,fresh,herb,oak,plum,soft,spice,strawberry,sweet,vanilla,Color
56,Shiraz,0.005914016609412393,0.06801119100824252,0.4618934390891575,0.1158843533821159,0.1004696510527512,0.08184792629144455,0.04326479579552622,0.3578430990181074,0.416229208972907,0.1987211986697002,0.3236855089875493,0.06514484175808583,0.1419559249217135,0.5290968692236536,Red
57,Montepulciano,0.01342522399014262,0.006712611995071312,0.743261657550515,0.1052261773246746,0.03167680695139533,0.09024591612370275,0.0679943483323047,0.2409448698107211,0.2230940455691939,0.196638029221289,0.4989980533250097,0.02609704697180802,0.1276838441079923,0.1000905201284247,Red
58,Moscato,0.1056678577893872,0.03170035733681616,0.02089320477951978,0.01380364894895933,0.07479697175897221,0.2674114342454913,0.118927328890344,0.0,0.005164525483166349,0.2594686034137332,0.04315974019808803,0.05477488346145495,0.8901249235330119,0.1772543193559677,Rose
59,Grenache,0.0244996364546266,0.07349890936387979,0.7205743062423913,0.2240312916815188,0.1531882205871839,0.1525798889339129,0.1102956521798959,0.1915832704906617,0.3053425597768603,0.1345664763008725,0.2626787049470366,0.3135272636892744,0.1414701907107902,0.1740928387018727,Red
60,Ugni Blanc-Colombard,0.3612874317504609,0.5419311476256914,0.0,0.0,0.0,0.7142988558709875,0.2033113480230418,0.0,0.0,0.1556395295505252,0.0,0.0,0.0,0.0,White
61,Blaufränkisch,0.02687825612915825,0.1612695367749495,0.7440314298403453,0.163854688209054,0.1014707635380863,0.3967847319198731,0.06050201591183117,0.1745788101024679,0.210188326518419,0.1235085056810975,0.3439882480930194,0.04644279972869374,0.08115306804777105,0.06679612044928193,Red
62,Friulano,0.9155975866171797,0.0,0.0,0.02135834587293167,0.0,0.3491141634699968,0.1840159101101572,0.05030324036317232,0.0,0.01408684264692925,0.04006856429101521,0.0,0.01480954521925793,0.03047389920250249,White
63,Assyrtico,0.1130678124864497,0.2826695312161244,0.0,0.0,0.1067133709256432,0.5812185124441124,0.0,0.1739355455883453,0.0,0.1461259340583933,0.508004540372973,0.0,0.1536226876656293,0.47416874351944,White
64,Pinot Bianco,0.9261897916567615,0.0,0.0,0.0,0.01120689327607611,0.2817174404470629,0.1202781275122992,0.1704870977387361,0.0,0.071614419921211,0.04849995168739479,0.0,0.07528848136919401,0.07746131155232289,White
65,Carignan-Grenache,0.0,0.0,0.4880075675440477,0.2149434139919255,0.0,0.1301248469465761,0.0,0.1687451247839006,0.8041936904544094,0.0,0.0,0.0,0.0,0.1533396820896369,Red
